s.no,name,type,mood,recipe link
1,rice paper dumplings,vegan,"happy, hungry",https://cookingwithayeh.com/rice-paper-dumplings
2,spicy turkish chickpea salad,vegan,"tired, angry",https://www.youtube.com/watch?v=etpwovjcnei&list=pllgafyhexti_kr3dwvn4o0qqukohhhefa&index=8
3,spicy garlic mushroom pasta,vegetarian,angry,https://www.youtube.com/watch?v=6wcoiyt_nds&list=pllgafyhexti_kr3dwvn4o0qqukohhhefa&index=36
4,corn cheese,vegetarian,after a good cry,https://www.youtube.com/watch?v=hxvkat4qhre&list=pllgafyhexti_kr3dwvn4o0qqukohhhefa&index=45&t=97s
5,garlic cheese toast,vegetarian,after a good cry,https://www.youtube.com/watch?v=x1tyjxlt1ho&list=pllgafyhexti_kr3dwvn4o0qqukohhhefa&index=41
6,crispy korean vegetable pancake,vegetarian,"sad, angry",https://www.youtube.com/watch?v=fyl_rf4i9l4
7,cloud eggs and toast,non-vegetarian,aesthetically/visually pleasing,https://www.foodnetwork.com/recipes/food-network-kitchen/cloud-eggs-3744344
8,mediterranean grilled chicken thighs with dill yogurt sauce,non-vegetarian,anxious,https://www.themediterraneandish.com/mediterranean-grilled-chicken-dill-greek-yogurt-sauce/
9,one pot creamy mushroom pasta,vegetarian,hungry,https://www.budgetbytes.com/one-pot-creamy-mushroom-pasta/
10,Scrambled eggs with cheese and garlic,non-vegetarian,hungry,https://www.rachelgurjar.com/creamy-garlic-parmesan-scrambled-eggs/
11,chocolate mug cake,non-vegetarian,happy,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/
12,cheesecake,non-vegetarian,"happy, after a good cry",https://www.thereciperebel.com/easy-cheesecake-recipe/
13,chicken curry,non-vegetarian,happy,https://www.delish.com/cooking/recipe-ideas/recipes/a54696/easy-indian-chicken-curry-recipe/
14,instant noodles,non-vegetarian,tired,DIY
15,egg sandwich,non-vegetarian,tired,https://www.simplyrecipes.com/recipes/egg_salad_sandwich/
16,smoothie,non-vegetarian,"angry, after a good cry",https://www.blessthismessplease.com/8-simple-smoothie-recipes/
17,tortillas with vegetable curry,vegetarian,"angry, tired",https://www.teaforturmeric.com/easy-vegetarian-curry-recipes-indian-pakistani/
18,ice cream with fruit salad,vegetarian,after a good cry,https://eatsmarter.com/recipes/ice-cream-with-fruit-salad
19,cake pops,vegetarian,aesthetically/visually pleasing,https://www.mashed.com/319037/copycat-starbucks-cake-pops/
20,coriander chicken,non-vegetarian,aesthetically/visually pleasing,https://www.food.com/recipe/coriander-lemon-chicken-57908
21,chicken shawarma,non-vegetarian,anxious,https://www.recipetineats.com/chicken-sharwama-middle-eastern/
22,Sesame Instant Ramen Noodles with Broccoli & Soft-Boiled Egg,non-vegetarian,tired,https://www.eatingwell.com/recipe/280863/sesame-instant-ramen-noodles-with-broccoli-soft-boiled-egg/
23,Garlic Lemon Shrimp,non-vegetarian,tired,https://www.tasteofhome.com/recipes/garlic-lemon-shrimp/
24,TORTILLA EGGS,non-vegetarian,don't want to cook,https://www.howsweeteats.com/2018/04/tortilla-eggs/
